id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
DE-005,DE,gdlLicensing,"During Phase 2 of Delaware's GDL, when can you drive unsupervised?","Between 6 AM and 10 PM only","Between 5 AM and 11 PM only","Between 7 AM and 9 PM only","Anytime without restrictions",0,A
DE-006,DE,gdlLicensing,"Who is legally liable for damages caused by a Delaware GDL driver's negligence?","Only the GDL driver themselves","Both sponsor and GDL driver","Only the sponsoring adult","The insurance company alone",1,B
DE-007,DE,gdlLicensing,"How many non-family passengers can a Phase 2 Delaware GDL holder transport unsupervised?","Two passengers maximum","Three passengers maximum","One passenger only","No passengers allowed",2,C
DE-008,DE,gdlLicensing,"What document must Delaware GDL applicants present as proof of driver education completion?","Red Certificate from any state","Online course completion email","School transcript showing driver's ed","Blue Certificate from Delaware",3,D
DE-009,DE,gdlLicensing,"How many years of licensure must a Delaware GDL supervising driver have?","At least five years","At least three years","At least seven years","At least ten years",0,A
DE-010,DE,gdlLicensing,"What happens if a Delaware GDL holder's driving privilege is suspended during the twelve-month period?","Suspension time extends the twelve months","Suspension time doesn't count toward it","The GDL is permanently revoked","Driver must restart from Phase 1",1,B
DE-011,DE,gdlLicensing,"How many night driving hours must Delaware GDL holders complete during Phase 1?","Five hours minimum","Fifteen hours minimum","Ten hours minimum","Twenty hours minimum",2,C
DE-012,DE,gdlLicensing,"Where must the supervising driver sit when accompanying a Delaware GDL permit holder?","In the back seat directly behind the driver","Anywhere in the vehicle","In the front passenger seat","Beside the driver in the front seat",3,D
DE-013,DE,cellPhone,"What type of cell phone use is permitted for all Delaware drivers while operating a vehicle?","Hands-free operation only","Brief text messages at red lights","One-handed phone calls","Emergency calls only",0,A
DE-014,DE,cellPhone,"Can Delaware learner permit holders use cell phones in hands-free mode while driving?","Yes, if over age 17","No, all phone use prohibited","Yes, for navigation only","Yes, but only for emergency calls",1,B
DE-015,DE,cellPhone,"What penalty does a Delaware learner driver face for a first cell phone violation?","Written warning only","Two-week suspension","One-month suspension","Six-month suspension",2,C
DE-016,DE,cellPhone,"When are Delaware school bus drivers prohibited from using cell phones?","Only during student pickup and dropoff","During all driving hours","Only on highways","When at least 1 child aboard",3,D
DE-017,DE,cellPhone,"What action can Delaware drivers legally perform with their phone while driving?","Activating hands-free mode","Checking maps at stoplights","Reading text messages","Taking photos of incidents",0,A
DE-018,DE,cellPhone,"Do Delaware cell phone violations add points to your driving record?","Yes, two points per violation","No, they do not add points","Yes, but only for repeat offenses","Only if combined with another violation",1,B
DE-019,DE,duiStateLaws,"What is the BAC limit for drivers under 21 in Delaware?","0.04%","0.05%","0.02%","0.08%",2,C
DE-020,DE,duiStateLaws,"What enhanced penalty applies if your BAC is above a certain elevated threshold in Delaware?","Double the standard fine amount","Automatic vehicle impoundment","Mandatory community service hours","Enhanced minimum penalties",3,D
DE-021,DE,duiStateLaws,"What device must all Delaware first-time DUI offenders install after their revocation period?","Ignition interlock device","Breath monitoring bracelet","GPS tracking system","Speed limiting device",0,A
DE-022,DE,duiStateLaws,"What is the BAC limit for Delaware commercial drivers?","0.02%","0.04%","0.06%","0.08%",1,B
DE-023,DE,duiStateLaws,"What happens if a Delaware driver under 17 is arrested with a BAC of 0.08% or higher?","License suspended for one year","License suspended until age 18","No license until reaching age 21","Mandatory DUI school only",2,C
DE-024,DE,duiStateLaws,"What program allows eligible Delaware first-time DUI offenders to participate in education and treatment?","DUI Reduction Program","Alcohol Awareness Course","Safe Driver Initiative","First Offense Election",3,D
DE-025,DE,duiStateLaws,"What BAC level must first-time offenders stay below to qualify for Delaware's First Offense Election?","Below 0.15%","Below 0.12%","Below 0.10%","Below 0.08%",0,A
DE-026,DE,duiStateLaws,"What is the BAC limit for Delaware school bus and daycare drivers?","0.00%","0.02%","0.04%","0.08%",1,B
DE-027,DE,insurance,"What type of coverage does Delaware require in addition to standard liability insurance?","Collision coverage","Comprehensive coverage","Personal Injury Protection","Rental reimbursement coverage",2,C
DE-028,DE,insurance,"Despite requiring PIP coverage, what type of state is Delaware for insurance purposes?","Modified no-fault state","Pure no-fault state","Contributory negligence state","At-fault state",3,D
DE-029,DE,insurance,"What coverage must Delaware insurance companies offer but can be rejected by the policyholder?","Unins./underins. motorist","Collision damage coverage","Medical payments coverage","Comprehensive loss coverage",0,A
DE-030,DE,insurance,"What happens to your vehicle registration if you drive without required Delaware insurance?","You receive a warning letter","The registration is suspended","You must take defensive driving","Nothing on first offense",1,B
DE-031,DE,stateUnique,"What is the maximum speed limit for cars on Delaware highways?","65 mph","60 mph","55 mph","70 mph",2,C
DE-032,DE,stateUnique,"When do Delaware work zone enhancements apply for moving violations?","Only during weekday rush hours","Only when workers are actively present","During daylight hours only","Whenever work zone signs are posted",3,D
DE-033,DE,stateUnique,"How many points accumulated within 24 months triggers mandatory action in Delaware?","Twelve points","Ten points","Fifteen points","Eight points",0,A
DE-034,DE,stateUnique,"What type of seatbelt enforcement does Delaware use?","Secondary enforcement only","Primary enforcement","Warning-based enforcement","No enforcement",1,B
DE-035,DE,stateUnique,"How long do violation points count at their full value on your Delaware driving record?","Six months","Twenty-four months","Twelve months","Eighteen months",2,C
DE-036,DE,stateUnique,"What must Delaware drivers do when traveling slower than the normal speed of traffic?","Use hazard lights continuously","Pull over at every mile marker","Drive in the center lane only","Keep right near the edge",3,D
DE-037,DE,stateUnique,"What happens after violation points count at full value for twelve months in Delaware?","They reduce to half their value","They are completely removed","They double in value","They remain the same indefinitely",0,A
DE-038,DE,stateUnique,"What determines a reasonable following distance under Delaware law?","Posted signs and speed limits","Speed, traffic, and conditions","Vehicle weight and size","Time of day and weather",1,B
DE-039,DE,stateUnique,"Which Delaware city maintains and enforces its own red light cameras?","Wilmington","Newark","Dover","Rehoboth Beach",2,C
DE-040,DE,stateUnique,"What must all vehicle occupants wear according to Delaware's strict safety laws?","Reflective vests at night","Protective eyewear","Closed-toe shoes","Seat belts",3,D
FL-001,FL,gdlLicensing,"At what age can Florida residents first apply for a learner's license?","15 years old","14 years old","16 years old","17 years old",0,A
FL-002,FL,gdlLicensing,"How many hours of supervised driving practice must Florida learner's permit holders complete?","40 hours total, no night required","50 hours, including 10 at night","30 hours, including 5 at night","60 hours, including 15 at night",1,B
FL-003,FL,gdlLicensing,"What course must Florida teens under 18 complete before applying for a learner's permit as of August 2025?","TLSAE (Traffic Law) course only","Defensive driving course only","Driver Ed and Traffic Safety (DETS)","Advanced driver training course",2,C
FL-004,FL,gdlLicensing,"During the first three months with a Florida learner's license, when can teens drive?","Until 8 PM each day","Until 10 PM each day","Until midnight only","Daylight hours only",3,D
FL-005,FL,gdlLicensing,"After the first three months, until what time can Florida learner's license holders drive?","10 PM","11 PM","Midnight","9 PM",0,A
FL-006,FL,gdlLicensing,"What is the minimum age requirement for the adult supervising a Florida learner's permit holder?","18 years old","21 years old","25 years old","19 years old",1,B
FL-007,FL,gdlLicensing,"What are the nighttime driving restrictions for 16-year-old Florida drivers with a provisional license?","Cannot drive 10 PM to 6 AM","Cannot drive midnight to 5 AM","Cannot drive 11 PM to 6 AM","Cannot drive 9 PM to 5 AM",2,C
FL-008,FL,gdlLicensing,"What are the nighttime restrictions for 17-year-old Florida provisional license holders?","11 PM to 6 AM","Midnight to 5 AM","10 PM to 6 AM","1 AM to 5 AM",3,D
FL-009,FL,gdlLicensing,"What is the minimum period a Florida teen must hold a learner's license before getting a provisional license?","12 months or until age 18","6 months minimum period","9 months minimum period","18 months minimum period",0,A
FL-010,FL,gdlLicensing,"Where must the supervising adult sit when accompanying a Florida learner's permit holder?","Anywhere in the vehicle","Front passenger seat","Back seat for better observation","Either front seat",1,B
FL-011,FL,gdlLicensing,"At what age do Florida drivers receive unrestricted licenses without GDL limitations?","17 years old","16 years old","18 years old","19 years old",2,C
FL-012,FL,gdlLicensing,"What happens if a Florida teen driver under 18 commits a moving violation?","License suspended for 30 days","Must pay fines and fees only","Community service required","Restrictions extended/suspended",3,D
FL-013,FL,cellPhone,"What type of offense is texting while driving in Florida?","Primary offense allowing stops","Secondary offense violation","Warning only for first time","Not currently illegal now",0,A
FL-014,FL,cellPhone,"Where is handheld phone use completely prohibited in Florida?","All highways and freeways","School and construction zones","Residential areas and streets","All roads statewide entirely",1,B
FL-015,FL,cellPhone,"How much is the base fine for a second texting offense in Florida within five years?","No fine, warning only","Same as first offense","Higher fine plus points","License suspension only",2,C
FL-016,FL,cellPhone,"What manual phone activity does Florida's texting law specifically prohibit while driving?","Making voice calls to others","Using GPS navigation apps","Social media browsing","Typing or entering messages",3,D
FL-017,FL,cellPhone,"When did texting while driving become a primary offense in Florida?","July 1, 2019","January 1, 2020","July 1, 2018","January 1, 2019",0,A
FL-018,FL,cellPhone,"What happens if you use a handheld device in a Florida school zone with active signals?","Warning only","Enhanced penalties apply","Standard texting fine","No penalty if school dismissed",1,B
FL-019,FL,duiStateLaws,"What is the legal blood alcohol limit for drivers under 21 in Florida?","0.05%","0.08%","0.02%","Zero tolerance",2,C
FL-020,FL,duiStateLaws,"What is the BAC limit for commercial drivers operating commercial vehicles in Florida?","0.08%","0.02%","0.06%","0.04%",3,D
FL-021,FL,duiStateLaws,"How long do DUI convictions remain on a Florida driving record?","75 years and cannot be sealed","10 years on driving record","25 years on driving record","Lifetime but can be expunged",0,A
FL-022,FL,duiStateLaws,"What major change did Trenton's Law bring to Florida DUI enforcement in October 2025?","Higher fines for DUI only","Refusing tests became criminal","Lower BAC limit standards","Mandatory jail time for DUI",1,B
FL-023,FL,duiStateLaws,"What is the standard BAC limit for drivers 21 and over in Florida?","0.10%","0.05%","0.08%","0.06%",2,C
FL-024,FL,duiStateLaws,"How long is the license suspension for a first-time refusal of chemical testing in Florida?","6 months","90 days","18 months","1 year",3,D
FL-025,FL,duiStateLaws,"What type of insurance certificate must Florida DUI offenders maintain for at least three years?","FR-44 certificate","SR-22 certificate","Standard liability","DUI-specific policy",0,A
FL-026,FL,duiStateLaws,"Under Trenton's Law, what is the maximum penalty for a second DUI manslaughter conviction?","15 years imprisonment max","Up to 30 yrs, 1st-deg felony","20 years imprisonment max","25 years imprisonment max",1,B
FL-027,FL,insurance,"What type of insurance system does Florida operate under?","Fault-based liability system","Hybrid system coverage","No-fault with PIP coverage","Tort liability only system",2,C
FL-028,FL,insurance,"How soon after an accident must you seek medical treatment to qualify for PIP benefits in Florida?","7 days","30 days","24 hours","14 days",3,D
FL-029,FL,insurance,"What type of insurance is uniquely required in Florida's no-fault system?","Personal Injury Protection (PIP)","Collision coverage insurance","Comprehensive coverage insurance","Rental car coverage insurance",0,A
FL-030,FL,insurance,"What%age of medical expenses does Florida PIP typically cover?","100% up to limits","80% of medical expenses","50% of medical expenses","60% of medical expenses",1,B
FL-031,FL,stateUnique,"During hurricane evacuations, which vehicles can use Emergency Shoulder Use lanes in Florida?","All vehicles including motorcycles","Emergency vehicles only allowed","Cars and SUVs, no trucks/trailers","Any vehicle under posted weight",2,C
FL-032,FL,stateUnique,"How often must Florida drivers age 80 and older renew their licenses?","Every 8 years like other drivers","Every 4 years with testing","Annually with vision test","Every 6 years with vision test",3,D
FL-033,FL,stateUnique,"What is Florida's minimum vision requirement for license holders?","20/50 in at least one eye","20/40 in both eyes","20/30 in at least one eye","20/60 in at least one eye",0,A
FL-034,FL,stateUnique,"As of January 2025, what triggers Florida's Move Over Law requirements?","Emergency vehicles only on road","Any vehicle with hazards activated","Police and fire vehicles only","Tow trucks and emergency vehicles",1,B
FL-035,FL,stateUnique,"If you cannot move over for a stopped vehicle in Florida, how much must you reduce speed?","10 mph below the posted limit","15 mph below the posted limit","20 mph below, or 5 if under 20","Half of the posted speed limit",2,C
FL-036,FL,stateUnique,"Which shoulder is used for Emergency Shoulder Use on Florida's four-lane highways?","Left shoulder lane only","Either shoulder as needed","Center median lane area","Right or outside shoulder",3,D
FL-037,FL,stateUnique,"What minimum horizontal field of vision is required for Florida drivers?","130 degrees","120 degrees","140 degrees","110 degrees",0,A
FL-038,FL,stateUnique,"What replaced Florida's contraflow lane reversal system for hurricane evacuations?","Restricted access highways","Emergency Shoulder Use (ESU)","Toll road waivers program","Mass transit systems use",1,B
FL-039,FL,stateUnique,"What are the recommended top speeds when using ESU shoulder lanes during evacuations?","45-55 mph on shoulders","Same as normal lanes","30-40 mph, narrower lanes","20-25 mph on shoulders",2,C
FL-040,FL,stateUnique,"What two types of coverage are required for all Florida drivers?","Liability and collision coverage","Comprehensive and collision","Uninsured motorist and liability","PIP and property damage liability",3,D
GA-001,GA,gdlLicensing,"What is Joshua's Law in Georgia?","A mandatory driver education program for teens","A law requiring seat belts for all passengers","A regulation about school bus safety","A restriction on nighttime driving for all drivers",0,A
GA-002,GA,gdlLicensing,"During the first six months with a Georgia Class D license, who can ride as passengers?","Anyone the driver chooses to bring","Only immediate family members","Up to three friends maximum","Only adults over age 21",1,B
GA-003,GA,gdlLicensing,"What must a Georgia learner's permit holder do while driving?","Display special decal on the vehicle","Drive only during daylight hours only","Be accompanied by licensed driver 21+","Keep speed 10 mph below posted limits",2,C
GA-004,GA,gdlLicensing,"How many hours of supervised driving must Georgia teens complete, including nighttime hours?","20 total hours with 4 at night","30 total hours with 5 at night","35 total hours with 8 at night","40 total hours with 6 at night",3,D
GA-005,GA,gdlLicensing,"Under Joshua's Law, what behind-the-wheel training options satisfy the requirement?","6 hrs professional or 40 hrs parent-taught","Ten hours with any licensed adult driver","Twenty hours at driving school only","Thirty hours with any family member",0,A
GA-006,GA,gdlLicensing,"When are Georgia Class D license holders prohibited from driving?","Between 10 PM and 6 AM","Between midnight and 5 AM","Between 11 PM and 6 AM","Between 1 AM and 5 AM",1,B
GA-007,GA,gdlLicensing,"After the first six months with a Class D license, how many non-family passengers are allowed?","No non-family passengers are ever allowed","Up to three non-family passengers","One non-family passenger","Two non-family passengers",2,C
GA-008,GA,gdlLicensing,"At what minimum age can a Georgia resident apply for a learner's permit?","14 years old","14 and a half years old","16 years old","15 years old",3,D
GA-009,GA,gdlLicensing,"When can a Georgia driver upgrade from a Class D to a full Class C license?","At age 18 after holding Class D 12 months","At age 17 after completing advanced training","At age 19 with clean driving record","Immediately after passing road test",0,A
GA-010,GA,gdlLicensing,"Who qualifies as a supervising driver for someone with a Georgia learner's permit?","Any family member with a license","A licensed driver at least 21 years old","Anyone who has held a license for 5 years","A parent or legal guardian only",1,B
GA-011,GA,gdlLicensing,"How many classroom hours of driver education does Joshua's Law require?","20 hours","25 hours","30 hours","40 hours",2,C
GA-012,GA,gdlLicensing,"How long must a Georgia teen hold a learner's permit before applying for a Class D license?","6 months exactly","9 months and 1 day","18 months minimum","1 year and 1 day",3,D
GA-013,GA,cellPhone,"What is the core principle of Georgia's Hands-Free Law?","Driver's body cannot touch the phone","Phones must be turned off while driving","Only emergency calls are permitted","Bluetooth devices are prohibited",0,A
GA-014,GA,cellPhone,"Under Georgia's Hands-Free Law, when is a driver permitted to hold their phone?","At stop signs and traffic lights","Only when legally parked","During emergency situations only","When traveling below 25 mph",1,B
GA-015,GA,cellPhone,"What type of phone use is permitted while driving in Georgia?","Texting at red lights only","One-handed calling if brief","Hands-free voice-activated tech","Holding phone for GPS navigation",2,C
GA-016,GA,cellPhone,"What restriction applies to Georgia drivers under age 18 regarding cell phones?","They may use hands-free devices only","They may text but not call","They may use phones with parental permission","They are banned from all cell phone use",3,D
GA-017,GA,cellPhone,"Can Georgia drivers touch their phone to answer a call while driving?","Yes, to initiate or accept a call only","Yes, if the call is from family","No, never while the vehicle is in motion","Yes, but only at intersections",0,A
GA-018,GA,cellPhone,"What must drivers do if they need to use their phone while driving in Georgia?","Pull over and stop briefly on roadside","Use voice commands or park legally","Wait until reaching their destination","Switch to speaker mode immediately",1,B
GA-019,GA,duiStateLaws,"What BAC level triggers DUI charges for Georgia drivers under age 21?","0.00%","0.01%","0.02%","0.05%",2,C
GA-020,GA,duiStateLaws,"What does Georgia's implied consent law require from drivers?","Consent to vehicle searches at stops","Permission for license suspension","Consent to roadside questioning","Chemical testing when arrested for DUI",3,D
GA-021,GA,duiStateLaws,"What is the consequence for refusing a chemical test in Georgia?","Automatic license suspension","Increased insurance rates only","A warning for first refusal","Mandatory court appearance",0,A
GA-022,GA,duiStateLaws,"What additional consequence do Georgia drivers aged 15-21 face for DUI conviction?","Immediate vehicle impoundment for DUI","Delayed graduated license advancement","Mandatory alcohol education classes","Extended probation period of 1 year",1,B
GA-023,GA,duiStateLaws,"At what BAC level can adult drivers be charged with DUI in Georgia?","0.05%","0.06%","0.08%","0.10%",2,C
GA-024,GA,duiStateLaws,"What must Georgia officers provide before requesting a chemical test?","A written consent form","Access to legal counsel","A warning about penalties","The implied consent notice",3,D
GA-025,GA,duiStateLaws,"Why does Georgia enforce zero tolerance laws for underage drivers?","To prevent underage drinking and driving","To reduce insurance costs for families","To increase state revenue from fines","To simplify traffic enforcement efforts",0,A
GA-026,GA,duiStateLaws,"How long is the license suspension for a first underage DUI offense in Georgia?","Three months minimum","Six months minimum","Nine months minimum","One year minimum",1,B
GA-027,GA,insurance,"What type of car insurance is legally required in Georgia?","Comprehensive coverage","Collision coverage","Liability coverage","Uninsured motorist coverage",2,C
GA-028,GA,insurance,"What does Georgia's required liability insurance NOT cover?","Injuries to other drivers","Damage to other vehicles","Medical costs for other people","Your own vehicle repairs",3,D
GA-029,GA,insurance,"Why does Georgia require minimum liability insurance coverage?","To ensure drivers pay for harm they cause","To fund state highway maintenance work","To reduce vehicle registration fees","To lower overall insurance premiums",0,A
GA-030,GA,insurance,"What must Georgia drivers provide during a traffic stop?","Vehicle registration only","Proof of insurance and license","Insurance declaration page","Recent maintenance records",1,B
GA-031,GA,stateUnique,"What speeds qualify as Super Speeder violations in Georgia?","70 mph on any road or 80 mph on highways","80 mph on any road or 90 mph on highways","75 mph on two-lane roads or 85 mph on any road","65 mph on two-lane roads or 80 mph on highways",2,C
GA-032,GA,stateUnique,"What must drivers do when approaching emergency vehicles with flashing lights in Georgia?","Slow down to half the speed limit","Stop completely until vehicles leave","Flash headlights to acknowledge","Move over one lane or slow down",3,D
GA-033,GA,stateUnique,"What does Georgia's Slowpoke Law require on multi-lane highways?","Exit left lane for faster traffic","Maintain minimum highway speeds always","Use right lane for all truck traffic","Keep left lane clear during rush hour",0,A
GA-034,GA,stateUnique,"When must drivers stop for a school bus in Georgia?","Only when children are visible boarding","When red lights flash and stop arm extends","When the bus is slowing down gradually","Only on school property and grounds",1,B
GA-035,GA,stateUnique,"What did Georgia's Addy's Law establish regarding school buses?","Mandatory seat belts on all buses statewide","Camera systems on every bus for monitoring","Enhanced penalties for illegally passing buses","Reduced speed limits near schools and stops",2,C
GA-036,GA,stateUnique,"What happens if a Georgia Super Speeder fails to pay the state fee?","Increased insurance premiums only","Additional court appearance required","Points added to driving record","License suspension and additional fees",3,D
GA-037,GA,stateUnique,"Which vehicles are covered under Georgia's Move Over Law?","Emergency, tow, utility, highway maintenance","Police and fire vehicles only on highways","Any vehicle with hazard lights on roadways","Commercial vehicles and buses with lights",0,A
GA-038,GA,stateUnique,"What do flashing yellow lights on a Georgia school bus indicate?","The bus is broken down on road","The bus is preparing to stop soon","Children are boarding the bus","The bus is in reverse gear",1,B
GA-039,GA,stateUnique,"When does Georgia's Slowpoke Law NOT apply to left lane drivers?","When driving at the posted speed limit","During weekend travel on all highways","When traffic congestion requires all lanes","On roads with three or more lanes total",2,C
GA-040,GA,stateUnique,"When can drivers continue without stopping for a school bus on a divided highway?","When traveling over 45 mph speed limit","During non-school hours only on weekdays","Never on any divided highway in Georgia","When traveling opposite with median separation",3,D
HI-001,HI,gdlLicensing,"What is the minimum age to apply for an instructional permit in Hawaii?","15½ years old","16 years old","17 years old","18 years old",0,A
HI-002,HI,gdlLicensing,"How long must you hold an instructional permit before applying for a provisional license in Hawaii?","90 days","180 days","120 days","1 year",1,B
HI-003,HI,gdlLicensing,"What is the minimum age to obtain a provisional license in Hawaii?","15 years old","15½ years old","16 years old","17 years old",2,C
HI-004,HI,gdlLicensing,"At what age can you obtain a full unrestricted driver's license in Hawaii?","16 years old","16½ years old","18 years old","17 years old",3,D
HI-005,HI,gdlLicensing,"What is the minimum age of a supervising driver when practicing with an instructional permit in Hawaii?","21 years old","18 years old","25 years old","19 years old",0,A
HI-006,HI,gdlLicensing,"During what hours must a parent or guardian supervise a permit holder in Hawaii?","Midnight to 6 AM","11 PM to 5 AM","10 PM to 6 AM","1 AM to 5 AM",1,B
HI-007,HI,gdlLicensing,"At what age does a provisional license expire in Hawaii?","On your 18th birthday","On your 20th birthday","On your 19th birthday","On your 21st birthday",2,C
HI-008,HI,gdlLicensing,"What must you complete before applying for a provisional license in Hawaii?","Only written test is required","Only behind-the-wheel training","Only classroom instruction course","Classroom and behind-wheel education",3,D
HI-009,HI,gdlLicensing,"Who must supervise permit holders outside of nighttime hours in Hawaii?","Licensed driver 21 or older","Only parents or guardians","Only driving instructors","Only family members",0,A
HI-010,HI,gdlLicensing,"What happens to your permit progression if it is suspended in Hawaii?","Nothing changes at all","Must restart 180-day period","You lose it permanently","You pay reinstatement fee only",1,B
HI-011,HI,gdlLicensing,"How many questions must you answer correctly on Hawaii's written knowledge test?","20 out of 30","25 out of 30","24 out of 30","27 out of 30",2,C
HI-012,HI,gdlLicensing,"Can drivers 18 or older skip the permit stage in Hawaii?","No, permits required for all","Only with driver's education","Only with parental consent","Yes, apply directly for license",3,D
HI-013,HI,cellPhone,"What type of cell phone use is prohibited for all drivers in Hawaii?","Handheld mobile devices","Using hands-free devices","Using GPS navigation","Making emergency calls",0,A
HI-014,HI,cellPhone,"What type of cell phone use is allowed for adult drivers in Hawaii?","All handheld device use","Hands-free devices only","Texting only allowed","No cell phone use allowed",1,B
HI-015,HI,cellPhone,"What restriction applies to drivers under 18 regarding cell phones in Hawaii?","Handheld devices only prohibited","Texting only is prohibited here","Device use banned, even hands-free","No restrictions for under 18",2,C
HI-016,HI,cellPhone,"Is it legal to use a handheld device at a red light in Hawaii?","Yes, always legal at red lights","No, unless emergency services","Yes, in school zones only","Yes, if vehicle fully stopped",3,D
HI-017,HI,cellPhone,"When is using a handheld cell phone permitted for any driver in Hawaii?","When calling emergency services","When using GPS navigation","When hands-free is unavailable","Never under any circumstances",0,A
HI-018,HI,cellPhone,"What unique pedestrian law does Honolulu have regarding electronic devices?","Drivers must put phones away near crosswalks","Pedestrians can't use phones while crossing","All phones must be silenced in zones","Electronic billboards are banned",1,B
HI-019,HI,duiStateLaws,"What is the standard blood alcohol concentration limit for adult drivers in Hawaii?","0.05%","0.10%","0.08%","0.06%",2,C
HI-020,HI,duiStateLaws,"What BAC level results in highly intoxicated status with enhanced penalties in Hawaii?","0.10% or higher","0.12% or higher","0.20% or higher","0.15% or higher",3,D
HI-021,HI,duiStateLaws,"What does Hawaii's implied consent law mean for drivers?","Auto consent to testing when arrested","You can refuse testing without penalty","Only commercial drivers must consent","You must first sign a consent form",0,A
HI-022,HI,duiStateLaws,"How long is the license revocation for refusing a chemical test on a first offense in Hawaii?","1 year","2 years","3 years","6 months",1,B
HI-023,HI,duiStateLaws,"What is the BAC limit for commercial drivers in Hawaii?","0.02%","0.08%","0.04%","0.06%",2,C
HI-024,HI,duiStateLaws,"What is Hawaii's alcohol policy for drivers under 21?","0.02% BAC limit applies","Same as adults","0.04% BAC limit applies","Zero tolerance policy",3,D
HI-025,HI,duiStateLaws,"When is an ignition interlock device required in Hawaii?","All DUI offenses, even first","Only for third offense or higher","Only for commercial drivers","Never required in Hawaii state",0,A
HI-026,HI,duiStateLaws,"How long is the grace period with a temporary permit after a DUI arrest in Hawaii?","7 days","14 days","21 days","30 days",1,B
HI-027,HI,insurance,"What type of insurance system does Hawaii use for injuries?","At-fault/tort","Hybrid","No-fault","Choice system",2,C
HI-028,HI,insurance,"Who is responsible for property damage in a Hawaii accident?","Your own insurance always","State compensation fund","Shared equally between drivers","The at-fault driver",3,D
HI-029,HI,insurance,"What does Personal Injury Protection primarily cover in Hawaii?","Medical costs for you and passengers","Property damage repair costs only","Other drivers' injury costs","Your vehicle repair costs only",0,A
HI-030,HI,insurance,"What threshold must medical expenses exceed before you can sue in Hawaii?","No threshold exists at all","Medical costs exceed threshold","Any amount allows lawsuit","Permanent injury only applies",1,B
HI-031,HI,stateUnique,"When must drivers stop for pedestrians at crosswalks in Hawaii?","Only at marked crosswalks","Only when pedestrian waves","When on your half or approaching","Only at intersections with signals",2,C
HI-032,HI,stateUnique,"Are U-turns legal at signalized intersections in Hawaii?","Yes, always allowed everywhere","Yes, unless posted otherwise","Yes, during off-peak hours only","No, banned at signal intersections",3,D
HI-033,HI,stateUnique,"Where must pedestrians walk when no sidewalk is available in Hawaii?","On the left side facing traffic","On the right side with traffic","In the middle of the road","Either side is acceptable",0,A
HI-034,HI,stateUnique,"What must pedestrians do when crossing outside of a crosswalk in Hawaii?","Cross quickly and safely","Yield to all vehicles","Wave to all drivers","Nothing, they always have right-of-way",1,B
HI-035,HI,stateUnique,"Is jaywalking legal in Hawaii?","Yes, anywhere outside business districts","Yes, if no cars are present","No, it is illegal","Yes, with caution",2,C
HI-036,HI,stateUnique,"Can you pass a vehicle stopped at a crosswalk for a pedestrian in Hawaii?","Yes, if safe to do so","Yes, in the left lane only","Yes, if no pedestrian is visible","No, must not overtake",3,D
HI-037,HI,stateUnique,"What should pedestrians do if suddenly needing to cross and vehicles are close in Hawaii?","Wait, don't enter path of vehicles","Cross quickly and hurry across","Wave to get driver's attention","Step out slowly into roadway",0,A
HI-038,HI,stateUnique,"What does Hawaii's comparative negligence rule mean for pedestrian accidents?","Pedestrians always recover full compensation","Can recover if less than 50% at fault","Pedestrians cannot recover if any fault","Only drivers can be at fault here",1,B
HI-039,HI,stateUnique,"When can pedestrians start crossing against a Don't Walk signal in Hawaii?","If no cars are visible","During off-peak hours","Never, must wait for Walk signal","If they can complete crossing quickly",2,C
HI-040,HI,stateUnique,"What must pedestrians do who have started crossing on a Walk signal when it changes?","Run back to the curb quickly","Stop in the middle of road","Speed up significantly now","Continue to sidewalk or island",3,D
IA-001,IA,gdlLicensing,"What is the minimum age to apply for an instruction permit in Iowa?","14 years old","15 years old","16 years old","14½ years old",0,A
IA-002,IA,gdlLicensing,"What is the minimum age to obtain an intermediate license in Iowa?","15 years old","16 years old","17 years old","15½ years old",1,B
IA-003,IA,gdlLicensing,"How many supervised driving hours are required while holding an instruction permit in Iowa?","10 hrs total driving time","30 hrs total driving time","20 hrs with 2 at night","50 hrs total driving time",2,C
IA-004,IA,gdlLicensing,"How long must you hold an instruction permit before applying for an intermediate license in Iowa?","6 months","9 months","18 months","12 months",3,D
IA-005,IA,gdlLicensing,"How long must your driving record be clean before applying for an intermediate license in Iowa?","6 consecutive months","3 consecutive months","12 consecutive months","9 consecutive months",0,A
IA-006,IA,gdlLicensing,"During what hours cannot intermediate license holders drive without adult supervision in Iowa?","11 PM to 5 AM","12:30 AM to 5 AM","Midnight to 6 AM","1 AM to 5 AM",1,B
IA-007,IA,gdlLicensing,"For how long does the passenger restriction apply to Iowa intermediate license holders who accept it?","3 months total","12 months total","First 6 months","9 months total",2,C
IA-008,IA,gdlLicensing,"What is the minimum age to apply for a special minor's restricted license in Iowa?","14 years old","15 years old","16 years old","14½ years old",3,D
IA-009,IA,gdlLicensing,"Can Iowa intermediate license holders use electronic devices while driving?","No, all device use prohibited","Yes, if using hands-free mode","Yes, for navigation purposes","Yes, for emergency calls only",0,A
IA-010,IA,gdlLicensing,"How long must you hold an intermediate license before advancing to a full license in Iowa?","6 consecutive months","12 consecutive months","18 consecutive months","9 consecutive months",1,B
IA-011,IA,gdlLicensing,"What happens to your advancement timeline if you violate GDL restrictions in Iowa?","Warning only for first violation","Small fine payment only","12-month period restarts","3-month delay period only",2,C
